ccaa;ayudas;pct_ayudas;entidades;importe_concedido_eur;pct_importe
Cataluña;116;35,8;30;10381642,48;41,2
Madrid;61;18,8;16;4314223,82;17,1
Andalucía;39;12,0;14;3155859,19;12,5
Aragón;16;4,9;4;1244786,00;4,9
Comunidad Valenciana;16;4,9;7;1117778,00;4,4
Galicia;11;3,4;6;1579706,32;6,3
Asturias;9;2,8;3;721850,00;2,9
Illes Balears;9;2,8;4;615707,00;2,4
Castilla y León;8;2,5;5;642105,23;2,6
País Vasco;8;2,5;6;497667,82;2,0
Cantabria;6;1,9;3;193342,20;0,8
Castilla-La Mancha;4;1,2;1;411105,00;1,6
Canarias;4;1,2;4;92850,00;0,4
Murcia;4;1,2;3;83280,00;0,3
Extremadura;1;0,3;1;83900,00;0,3
La Rioja;1;0,3;1;35800,00;0,1
