financiador;convocatoria;ayudas;entidades;desde;hasta;importe_concedido_eur
AEI;Proyectos de I+D+I (Generación de Conocimiento y Retos Investigación);52;28;2019;2024;6446634,30
FECYT;Fomento de la cultura científica 2020;22;20;2020;2020;372940,00
FB;Convocatorias de ayudas;20;15;2012;2025;537576,72
FECYT;Fomento de la cultura científica 2021;20;17;2021;2021;378000,00
FECYT;Fomento de la cultura científica 2025;18;17;2025;2025;631000,00
FECYT;Fomento de la cultura científica 2022;17;14;2022;2022;434600,00
AEI;Proyectos Programación Conjunta Internacional;16;10;2017;2025;2425879,24
FECYT;Fomento de la cultura científica 2023;15;12;2023;2023;393000,00
FECYT;Fomento de la cultura científica 2024;14;13;2024;2024;325000,00
AEI;Proyectos Estratégicos Orientados a la Transición Ecológica y a la Transición Digital;13;7;2021;2021;2548515,00
AEI;Estancias Breves;12;9;2011;2015;58008,00
AEI;Proyectos I+D+i  Retos de investigación;11;8;2015;2018;1341527,00
AEI;Contratos Predoctorales Severo Ochoa y María de Maeztu;10;1;2023;2023;1160000,00
AEI;Contratos Predoctorales Proyectos Generación del Conocimiento;9;6;2022;2023;1046148,00
AEI;Contratos Predoctorales;6;6;2012;2015;493542,80
AEI;Juan de la Cierva Incorporación;6;4;2010;2014;480360,00
AEI;Torres Quevedo;5;4;2013;2023;430649,70
AEI;Juan de la Cierva Formación;5;5;2019;2021;284800,00
AEI;Personal Técnico de Apoyo;5;3;2013;2024;229200,00
AEI;Europa Investigación;5;4;2015;2020;76200,00
FB;Programa Pleamar;5;4;2019;2026;0,00
AEI;Ramón y Cajal;4;3;2010;2023;932980,00
AEI;Proyectos de Colaboración Internacional;4;4;2025;2026;673750,00
AEI;Proyectos de I+D (Excelencia / Generación de Conocimiento);4;4;2014;2018;325853,00
AEI;Redes Investigación /Redes Excelencia;4;4;2022;2024;148500,00
AEI;Proyectos de I+D+I (Retos Investigación);3;3;2013;2013;406560,00
AEI;Promoción de Empleo Joven;3;3;2014;2014;110800,00
AEI;Preparación y Gestión de Proyectos Europeos;2;2;2022;2023;441015,00
AEI;Proyectos Consolidación Investigadora;2;2;2022;2023;398894,04
AEI;Proyectos I+D+i Pruebas de Concepto;2;2;2021;2022;165830,00
AEI;Proyectos I+D;2;2;2009;2009;62920,00
FB;Biodiversa+;2;2;2023;2024;0,00
FB;Convocatorias FEDER;1;1;2026;2026;914506,32
AEI;Proyectos de I+D+i en líneas estratégicas;1;1;2022;2022;206631,54
AEI;Plataformas Tecnológicas y de Innovación;1;1;2020;2020;93208,00
AEI;Juan de la Cierva;1;1;2024;2024;76600,00
AEI;Doctorados Industriales;1;1;2019;2019;69974,40
AEI;Contratos para la formación Posdoctoral;1;1;2013;2013;50000,00
