entidad;cif;ccaa;ayudas;financiadores;desde;hasta;importe_concedido_eur
AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC);Q2818002D;Andalucía;35;AEI;2010;2026;4932966,00
UNIVERSIDAD DE BARCELONA;Q0818001J;Cataluña;22;AEI FECYT;2018;2025;2595968,08
AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS;;Madrid;12;FECYT;2020;2025;272250,00
CENTRO DE INVESTIGACION ECOLOGIA Y APLICACIONES FORESTALES CCT;Q5850011G;Cataluña;10;AEI;2023;2023;1160000,00
UNIVERSITAT DE GIRONA;Q6750002E;Cataluña;10;AEI FECYT;2011;2025;813110,00
UNIVERSIDAD CARLOS III DE MADRID;Q2818029G;Madrid;7;AEI FECYT;2015;2023;608934,00
UNIVERSIDAD DE ZARAGOZA;Q5018001G;Aragón;7;AEI FECYT;2016;2023;524046,00
UNIVERSIDAD AUTÓNOMA DE MADRID;Q2818013A;Madrid;7;AEI FECYT;2012;2025;522850,00
Fundació Universitària Balmes;;Cataluña;7;FB FECYT;2020;2025;347568,51
UNIVERSIDAD DE OVIEDO;Q3318001I;Asturias;6;AEI FECYT;2013;2023;683950,00
UNIVERSIDAD POLITECNICA DE MADRID;Q2818015F;Madrid;6;AEI FECYT;2009;2021;425251,61
UNIVERSIDADE DE VIGO;;Galicia;6;FECYT;2020;2025;182750,00
UNIVERSITAT AUTÒNOMA DE BARCELONA;;Cataluña;6;FECYT;2020;2025;168000,00
ASSOCIACIÓ MEDIAMBIENTAL XATRAC;;Cataluña;6;FECYT;2020;2025;97940,00
;;;6;FB;2012;2018;0,00
UNIVERSIDAD DE CADIZ;Q1132001G;Andalucía;5;AEI;2011;2021;459150,00
UNIVERSIDAD DE LAS ISLAS BALEARES;Q0718001A;Illes Balears;5;AEI FB;2015;2021;408677,00
UNIVERSIDAD DE MALAGA;Q2918001E;Andalucía;5;AEI FECYT;2022;2025;354500,00
UNIVERSIDAD DE GRANADA;Q1818002F;Andalucía;5;AEI FECYT;2020;2024;274950,49
CENTRO DE INVESTIGACIÓN ECOLÓGICA Y APLICACIONES FORESTALES;;Cataluña;5;FECYT;2020;2023;133000,00
UNIVERSIDAD COMPLUTENSE DE MADRID;Q2818014I;Madrid;5;AEI FECYT;2015;2024;110938,00
ANEL.LIDES, S.L.;;Cataluña;5;FECYT;2020;2024;39250,00
UNIVERSITAT POLITECNICA DE CATALUNYA;Q0818003F;Cataluña;4;AEI;2015;2021;451300,00
UNIVERSIDAD DE CASTILLA-LA MANCHA;Q1368009E;Castilla-La Mancha;4;AEI FECYT;2021;2024;411105,00
UNIVERSITAT POLITÈCNICA DE VALÈNCIA;Q4618002B;Comunidad Valenciana;4;AEI FECYT;2022;2025;385750,00
UNIVERSIDAD DE CORDOBA;Q1418001B;Andalucía;4;AEI FECYT;2022;2026;385500,00
UNIVERSIDAD NACIONAL DE EDUCACION A DISTANCIA;Q2818016D;Madrid;4;AEI;2010;2024;358605,00
UNIVERSIDAD REY JUAN CARLOS;Q2803011B;Madrid;4;AEI;2020;2022;346417,00
UNIVERSITAT DE VALÈNCIA;Q4618001D;Comunidad Valenciana;4;AEI;2019;2022;292448,00
UNIVERSIDAD DE SEVILLA;Q4118001I;Andalucía;4;AEI FECYT;2014;2024;269750,00
UNIVERSIDAD AUTONOMA DE BARCELONA;Q0818002H;Cataluña;4;AEI;2014;2023;253953,00
UNIVERSIDAD DE CANTABRIA;Q3918001C;Cantabria;4;AEI FECYT;2012;2023;123367,80
UNIVERSIDAD DE ALMERIA;Q5450008G;Andalucía;3;AEI FECYT;2014;2022;226810,00
FUNDACIÓN IBERCIVIS;G99330094;Aragón;3;AEI FECYT;2022;2025;197600,00
Universidad de Alcalá;Q2818018J;Madrid;3;AEI FB;2014;2026;170450,00
FUNDACIÓN PARA EL FOMENTO DE LA INVESTIGACIÓN SANITARIA Y BIOMÉDICA DE LA COMUNITAT VALENCIANA;;Comunidad Valenciana;3;FECYT;2022;2024;69500,00
CENTRO DE INVESTIGACIÓN Y TECNOLOGÍA AGROALIMENTARIA DE ARAGÓN (CITA);;Aragón;3;FECYT;2020;2021;69300,00
FUNDACIO UNIVERSITARIA DEL BAGES;;Cataluña;3;FECYT;2022;2025;33500,00
CENTRO DE INVESTIGACION ENERGETICA MEDIOAMBIENTAL Y TECNOLOGICA (CIEMAT);Q2820002J;Cataluña;2;AEI;2013;2023;287800,00
UNIVERSIDAD DE VALLADOLID;Q4718001C;Castilla y León;2;AEI;2020;2021;286625,23
UNIVERSIDAD PABLO DE OLAVIDE, DE SEVILLA;Q9150016E;Andalucía;2;AEI FECYT;2021;2022;198598,70
SCIENCE FOR CHANGE, S.L.;B67362392;Cataluña;2;AEI;2020;2023;193949,70
FUNDACIO UNIVERSITARIA BALMES DE VIC;G58020124;Cataluña;2;AEI;2018;2021;190640,00
UNIVERSITAT ROVIRA I VIRGILI;Q9350003A;Cataluña;2;AEI;2020;2023;171459,15
UNIVERSIDAD DE LA IGLESIA DE DEUSTO;R4868004E;País Vasco;2;AEI FECYT;2020;2025;155739,82
FUNDACIÓ PER A LA UNIVERSITAT OBERTA DE CATALUNYA;G60667813;Cataluña;2;AEI FECYT;2020;2025;108600,00
UNIVERSIDAD DE SALAMANCA;;Castilla y León;2;FECYT;2021;2025;95000,00
UNIVERSIDAD DEL PAIS VASCO/EUSKAL HERRIKO UNIBERTSITATEA;Q4818001B;País Vasco;2;AEI FECYT;2009;2024;83720,00
FUNDACIÓN DESCUBRE-FUNDACIÓN ANDALUZA PARA LA DIVULGACIÓN DE LA INNOVACIÓN Y EL CONOCIMIENTO;;Andalucía;2;FECYT;2022;2024;67000,00
UNIVERSIDAD DE BURGOS;;Castilla y León;2;FECYT;2020;2021;43000,00
SCIENCE FOR CHANGE;;Cataluña;2;FECYT;2020;2021;33000,00
