organizacion_id;nombre;siglas;tipo_entidad;proyectos;coordinados;programas;aportacion_neta_eur
999991722;AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS;CSIC;REC;36;6;HORIZON H2020;12515366,13
952410118;FUNDACION IBERCIVIS;;REC;11;2;HORIZON H2020;2842882,13
901829759;SCIENCE FOR CHANGE, SL;SCIENCE FOR CHANGE;PRC;10;1;HORIZON H2020;2768501,50
999986484;UNIVERSITAT AUTONOMA DE BARCELONA;UAB;HES;8;0;HORIZON H2020;2147872,75
999976202;UNIVERSITAT POLITECNICA DE CATALUNYA;UPC;HES;6;2;HORIZON H2020;2784937,80
999867077;UNIVERSIDAD POMPEU FABRA;UPF;HES;6;1;HORIZON H2020;3115605,16
998880005;CENTRO DE INVESTIGACION ECOLOGICA Y APLICACIONES FORESTALES;CREAF - CERCA;REC;6;1;HORIZON H2020;1914562,50
999953019;UNIVERSITAT DE VALENCIA;UVEG;HES;5;3;HORIZON;1740716,86
999974844;UNIVERSIDAD POLITECNICA DE MADRID;UPM;HES;5;3;HORIZON H2020;2864457,50
999864846;UNIVERSITAT POLITECNICA DE VALENCIA;UPV;HES;5;2;HORIZON H2020;2891649,96
999986387;UNIVERSITAT DE BARCELONA;UB;HES;5;2;HORIZON H2020;1230687,50
999895886;UNIVERSIDAD DE ALICANTE;UNIVERSIDAD DE ALICANTE;HES;5;1;HORIZON H2020;1927487,50
929853350;IDEAS 3493 SL;IFC;PRC;5;0;HORIZON H2020;2087875,00
999862518;UNIVERSIDAD DE SEVILLA;USE;HES;4;1;HORIZON H2020;961198,72
957944453;INSTITUT D'ARQUITECTURA AVANCADA DE CATALUNYA;IAAC;REC;4;0;HORIZON H2020;823630,00
999898311;UNIVERSIDAD DE MALAGA;UMA;HES;4;0;HORIZON H2020;847854,50
951414122;FUNDACION PRIVADA INSTITUTO DE SALUD GLOBAL BARCELONA;ISGLOBAL;REC;3;2;HORIZON H2020;1059693,60
999898214;UNIVERSIDAD DE ZARAGOZA;UNIVERSIDAD DE ZARAGOZA;HES;3;1;HORIZON FP7;929644,00
998993786;IRIS TECHNOLOGY SOLUTIONS, SOCIEDAD LIMITADA;IRIS;PRC;3;1;HORIZON;1231458,08
999882015;UNIVERSIDAD DE GRANADA;UGR;HES;3;1;HORIZON H2020;750986,35
999544455;FUNDACIO CENTRE DE REGULACIO GENOMICA;CRG-CERCA;REC;3;1;HORIZON H2020;958317,09
985772104;FUNDACIO INSTITUT D'INVESTIGACIO SANITARIA PERE VIRGILI (IISPV);Institut de Recerca Biomedica Catalunya Sud (IRBCatSud);REC;3;1;HORIZON H2020;1200762,51
999655520;BARCELONA SUPERCOMPUTING CENTER CENTRO NACIONAL DE SUPERCOMPUTACION;BSC CNS;REC;3;0;HORIZON;3245313,00
999993856;ATOS SPAIN SA;;PRC;3;0;HORIZON H2020;280879,00
952979120;ATOS IT SOLUTIONS AND SERVICES IBERIA SL;ATOS IT;PRC;3;0;HORIZON H2020;717146,00
999829635;UNIVERSIDAD DE SANTIAGO DE COMPOSTELA;UNIVERSIDADE DE SANTIAGO DE COMPOSTELA;HES;3;0;HORIZON;1719476,10
999514385;FUNDACION AZTI - AZTI FUNDAZIOA;AZTI;REC;3;0;HORIZON H2020;1816226,46
999876971;UNIVERSIDAD DE LA IGLESIA DE DEUSTO ENTIDAD RELIGIOSA;UDEUSTO;HES;3;0;H2020;956382,83
935861045;IRIDEON SL;IRIDEON S.L.;PRC;2;1;HORIZON;968905,00
996410094;ZABALA INNOVATION CONSULTING SA;ZABALA;PRC;2;1;HORIZON H2020;2951517,75
901322643;IDENER RESEARCH & DEVELOPMENT AIE;;REC;2;1;HORIZON;1314962,03
996823508;FUNDACION DEUSTO-DEUSTU FUNDAZIOA;FD;REC;2;1;H2020;843554,31
999872703;UNIVERSIDAD DE CORDOBA;UCO;HES;2;1;H2020;802836,00
983180264;Agencia de Salut Publica de Barcelona;ASPB;PUB;2;0;HORIZON;255667,00
997382131;FUNDACIO PRIVADA INSTITUT DE RECERCA SOBRE IMMUNOPATOLOGIES-CAIXA, IRSICAIXA;IRSICAIXA;REC;2;0;HORIZON;199468,75
998526052;ASOCIACION DE INDUSTRIAS DE CONOCIMIENTO Y TECNOLOGIA - GAIA - EUSKALHERRIKO EZAGUTZA ETA TEKNOLOGIA INDUSTRIEN ELKARTEA;GAIA;OTH;2;0;HORIZON;507537,50
897354858;GERNIKA-LUMOKO KULTUR ETXEA;CASA DE CULTURA DE GERNIKA-LUMO;PUB;2;0;HORIZON;282250,00
928030235;FUNDACIO EURECAT;EURECAT;REC;2;0;HORIZON;691598,50
938047328;CAMBIAMO SOCIEDAD COOPERATIVA MADRILENA;;OTH;2;0;HORIZON;718245,00
999899572;UNIVERSIDAD CARLOS III DE MADRID;UC3M;HES;2;0;HORIZON H2020;448910,00
999858832;UNIVERSIDAD DE EXTREMADURA;UEx;HES;2;0;HORIZON H2020;314757,50
999929836;FUNDACION CARTIF;CARTIF;REC;2;0;HORIZON;611075,00
999604110;FUNDACION TECNALIA RESEARCH & INNOVATION;TECNALIA;REC;2;0;HORIZON;783740,63
938480918;SUBMON;SUBMON;OTH;2;0;HORIZON;533553,75
907678859;CONSORCI BESOS TORDERA;;PUB;2;0;HORIZON;130125,00
953813514;FUNDACION DE LA COMUNITAT VALENCIANA PARA LA PROMOCION ESTRATEGICA EL DESARROLLO Y LA INNOVACION URBANA;LAS NAVES;OTH;2;0;HORIZON;513500,00
999507886;INSTITUTO DE SALUD CARLOS III;ISCIII;REC;2;0;HORIZON H2020;663488,53
998886116;ACONDICIONAMIENTO TARRASENSE ASSOCIACION;LEITAT;REC;2;0;HORIZON H2020;684312,00
983820173;AYUNTAMIENTO DE MURCIA;;PUB;2;0;HORIZON H2020;343702,50
999884440;UNIVERSIDAD DE ALMERIA;UNIVERSIDAD DE ALMERIA;HES;2;0;HORIZON H2020;539217,68
909022018;E-SCIENCE EUROPEAN INFRASTRUCTURE FOR BIODIVERSITY AND ECOSYSTEM RESEARCH;LIFEWATCH ERIC;REC;2;0;HORIZON;910000,00
999880075;UNIVERSIDAD DE CANTABRIA;;HES;2;0;H2020;435750,00
999421944;FUNDACION ESPANOLA PARA LA CIENCIAY LA TECNOLOGIA, F.S.P., FECYT;FECYT;REC;2;0;H2020;283187,50
999855340;UNIVERSIDAD DE CADIZ;UCA;HES;2;0;H2020;21073,25
974644458;CONSORCIO PARA EL DISENO, CONSTRUCCION, EQUIPAMIENTO Y EXPLOTACION DE LA PLATAFORMA OCEANICA DE CANARIAS;PLOCAN;PUB;2;0;H2020;276312,50
889331406;ATAMA ESTRATEGIA RESPONSABLE SL;;PRC;1;1;HORIZON;89390,00
972774492;ASOCIACION CENTRO TECNOLOGICO NAVAL Y DEL MAR;CTN Innovative solutions;REC;1;1;HORIZON;828125,00
999861354;UNIVERSIDAD AUTONOMA DE MADRID;UAM;HES;1;1;HORIZON;499750,00
949035488;FUNDACIO ACE;Fundacio ACE;REC;1;1;H2020;311684,93
999565601;FUNDACIO PRIVADA PER A LA RECERCA I LA DOCENCIA SANT JOAN DE DEU;FSJD-CERCA;REC;1;1;H2020;425437,50
968872473;DESCUBRE - FUNDACION ANDALUZA PARA LA DIVULGACION DE LA INNOVACION Y EL CONOCIMIENTO;DESCUBRE;OTH;1;1;H2020;33000,00
994030005;ASOCIACION EMPRESARIAL CENTRO TECNOLOGICO DE LA ENERGIA Y DEL MEDIO AMBIENTE DE LA REGION DE MURCIA;CETENMA;REC;1;1;H2020;1113811,50
