pais;proyectos;pct_sobre_total;coordinados;pct_coordinados;organizaciones;pct_organizaciones;aportacion_neta_eur;pct_aportacion
ES;165;52,4;54;32,7;245;11,4;111846403,75;12,4
IT;148;47,0;41;27,7;213;9,9;77069200,82;8,5
DE;132;41,9;19;14,4;154;7,2;92437913,12;10,2
BE;105;33,3;17;16,2;127;5,9;58912738,48;6,5
UK;104;33,0;17;16,3;113;5,3;43268414,20;4,8
NL;102;32,4;27;26,5;124;5,8;83705606,84;9,3
FR;88;27,9;10;11,4;131;6,1;50483273,82;5,6
EL;77;24,4;12;15,6;97;4,5;44076763,68;4,9
PT;72;22,9;10;13,9;87;4,1;29054800,31;3,2
AT;70;22,2;13;18,6;58;2,7;36334437,24;4,0
DK;56;17,8;13;23,2;35;1,6;36284472,30;4,0
FI;48;15,2;14;29,2;38;1,8;30935947,05;3,4
NO;47;14,9;13;27,7;53;2,5;36873338,93;4,1
PL;41;13,0;4;9,8;48;2,2;13004887,81;1,4
SI;38;12,1;6;15,8;31;1,4;10723641,13;1,2
SE;38;12,1;7;18,4;36;1,7;13678680,63;1,5
CH;38;12,1;4;10,5;32;1,5;12245972,88;1,4
RO;38;12,1;2;5,3;65;3,0;14804198,09;1,6
IE;35;11,1;7;20,0;28;1,3;17006954,53;1,9
HU;27;8,6;2;7,4;30;1,4;6499590,25;0,7
BG;27;8,6;1;3,7;46;2,1;7713285,80;0,9
CZ;23;7,3;1;4,3;19;0,9;5321042,04;0,6
LT;21;6,7;4;19,0;19;0,9;8821653,19;1,0
CY;20;6,3;3;15,0;25;1,2;5855548,50;0,6
EE;18;5,7;2;11,1;16;0,7;6495384,00;0,7
HR;16;5,1;2;12,5;36;1,7;3920320,50;0,4
TR;15;4,8;2;13,3;25;1,2;5023798,65;0,6
RS;13;4,1;0;0,0;17;0,8;3762281,25;0,4
SK;10;3,2;1;10,0;16;0,7;2706754,19;0,3
MT;9;2,9;0;0,0;8;0,4;1544959,25;0,2
UA;9;2,9;0;0,0;17;0,8;2566199,29;0,3
US;9;2,9;0;0,0;11;0,5;693101,25;0,1
LU;8;2,5;1;12,5;10;0,5;4716489,74;0,5
BR;7;2,2;0;0,0;6;0,3;97370,00;0,0
CA;7;2,2;0;0,0;9;0,4;389031,29;0,0
IL;7;2,2;2;28,6;11;0,5;6671546,00;0,7
LV;7;2,2;0;0,0;9;0,4;1761065,55;0,2
TN;6;1,9;1;16,7;8;0,4;1292272,32;0,1
BA;5;1,6;1;20,0;4;0,2;1057687,00;0,1
AU;4;1,3;0;0,0;4;0,2;807767,08;0,1
IS;4;1,3;1;25,0;4;0,2;1026792,67;0,1
NZ;4;1,3;0;0,0;6;0,3;1549225,43;0,2
AM;3;1,0;1;33,3;1;0,0;648750,00;0,1
ZA;3;1,0;0;0,0;3;0,1;386587,50;0,0
CN;3;1,0;0;0,0;8;0,4;0,00;0,0
ME;3;1,0;0;0,0;3;0,1;404412,50;0,0
GH;3;1,0;0;0,0;4;0,2;644708,66;0,1
LB;3;1,0;0;0,0;3;0,1;464375,00;0,1
CL;3;1,0;0;0,0;2;0,1;310437,50;0,0
RU;3;1,0;0;0,0;2;0,1;0,00;0,0
AR;3;1,0;0;0,0;4;0,2;283834,24;0,0
JP;2;0,6;0;0,0;2;0,1;0,00;0,0
AL;2;0,6;0;0,0;5;0,2;576581,25;0,1
GL;2;0,6;0;0,0;1;0,0;337493,75;0,0
MA;2;0,6;0;0,0;2;0,1;311395,94;0,0
CO;2;0,6;0;0,0;2;0,1;315000,00;0,0
KE;2;0,6;0;0,0;5;0,2;2448414,50;0,3
UG;2;0,6;0;0,0;2;0,1;296172,50;0,0
UY;2;0,6;0;0,0;2;0,1;177218,75;0,0
BD;1;0,3;0;0,0;1;0,0;121615,00;0,0
TZ;1;0,3;0;0,0;1;0,0;126250,00;0,0
CV;1;0,3;0;0,0;1;0,0;86250,00;0,0
MK;1;0,3;0;0,0;1;0,0;82031,25;0,0
FO;1;0,3;0;0,0;1;0,0;539997,50;0,1
TH;1;0,3;0;0,0;1;0,0;141862,50;0,0
MX;1;0,3;0;0,0;2;0,1;0,00;0,0
BQ;1;0,3;0;0,0;1;0,0;101806,25;0,0
PH;1;0,3;0;0,0;1;0,0;30025,00;0,0
EG;1;0,3;0;0,0;1;0,0;142912,00;0,0
DZ;1;0,3;0;0,0;1;0,0;0,00;0,0
SA;1;0,3;0;0,0;1;0,0;0,00;0,0
XK;1;0,3;0;0,0;1;0,0;211250,00;0,0
HK;1;0,3;0;0,0;1;0,0;0,00;0,0
ET;1;0,3;0;0,0;2;0,1;84793,00;0,0
IN;1;0,3;0;0,0;1;0,0;0,00;0,0
