id;programa;acronimo;titulo;subprograma;subprograma_nombre;familia;tipo_accion;coordinador;coordinador_pais;entidades_pais_foco;estado;inicio;fin;anio_inicio;aportacion_ue_eur;coste_total_eur
101057332;HORIZON;4D PICTURE;Design-based Data-Driven Decision-support Tools: Producing Improved Cancer Outcomes Through User-Centred Research;HORIZON.2.1;Health;Health;HORIZON-RIA;ERASMUS UNIVERSITAIR MEDISCH CENTRUM ROTTERDAM;NL;FRACTAL STRATEGY SOCIEDAD LIMITADA | UNIVERSIDAD DE ZARAGOZA | FUNDACION INSTITUTO DE INVESTIGACION SANITARIA ARAGON;SIGNED;2022-10-01;2027-09-30;2022;9033750,00;9033750,00
101057554;HORIZON;IDAlert;Infectious Disease decision-support tools and Alert systems to build climate Resilience to emerging health Threats;HORIZON.2.1;Health;Health;HORIZON-RIA;UMEA UNIVERSITET;SE;UNIVERSIDAD POMPEU FABRA | AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS | IRIDEON SL | UNIVERSITAT AUTONOMA DE BARCELONA | Agencia de Salut Publica de Barcelona | BARCELONA SUPERCOMPUTING CENTER CENTRO NACIONAL DE SUPERCOMPUTACION;SIGNED;2022-06-01;2027-05-31;2022;9188294,00;9188298,75
101059737;HORIZON;LiS-Dig;Life is Science in a Digital World;HORIZON.1.2;Marie Skłodowska-Curie Actions (MSCA);Marie Skłodowska-Curie Actions;HORIZON-CSA;ACIB GMBH;AT;;CLOSED;2022-04-01;2024-03-31;2022;274862,00;0,00
101061001;HORIZON;AD4GD;All Data 4 Green Deal - An Integrated, FAIR Approach for the Common European Data Space;HORIZON.2.6;Food, Bioeconomy Natural Resources, Agriculture and Environment;Food, Bioeconomy Natural Resources, Agriculture and Environment;HORIZON-IA;CENTRO DE INVESTIGACION ECOLOGICA Y APLICACIONES FORESTALES;ES;ATOS SPAIN SA | CENTRO DE INVESTIGACION ECOLOGICA Y APLICACIONES FORESTALES | ATOS IT SOLUTIONS AND SERVICES IBERIA SL;SIGNED;2022-09-01;2025-08-31;2022;4136964,75;4364196,25
101061179;HORIZON;SCIENCE GTS;Science Goes To School;HORIZON.1.2;Marie Skłodowska-Curie Actions (MSCA);Marie Skłodowska-Curie Actions;HORIZON-CSA;ATAMA ESTRATEGIA RESPONSABLE SL;ES;UNIVERSIDAD DE ALICANTE | UNIVERSITAT JAUME I DE CASTELLON | UNIVERSIDAD POLITECNICA DE CARTAGENA | UNIVERSITAT DE VALENCIA | FUNDACION DE LA COMUNITAT VALENCIANA PARA LA GESTION DEL INSTITUTO DEINVESTIGACION SANITARIA Y BIOMEDICADE ALICANTE | UNIVERSIDAD DE MURCIA | ATAMA ESTRATEGIA RESPONSABLE SL | UNIVERSITAT POLITECNICA DE VALENCIA | UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE | FUNDACIÓN SÉNECA-AGENCIA DE CIENCIA Y TECNOLOGÍA DE LA REGIÓN DE MURCIA;CLOSED;2022-03-01;2023-12-31;2022;296157,46;0,00
101061464;HORIZON;FF2022_23;European Researchers' Night in Sweden 2022_2023: ForskarFredag 2022_2023;HORIZON.1.2;Marie Skłodowska-Curie Actions (MSCA);Marie Skłodowska-Curie Actions;HORIZON-CSA;VETENSKAP & ALLMANHET, VA;SE;;CLOSED;2022-04-01;2024-03-31;2022;300000,00;0,00
101061558;HORIZON;exploREsearch;Explore Research from East to West in Austria;HORIZON.1.2;Marie Skłodowska-Curie Actions (MSCA);Marie Skłodowska-Curie Actions;HORIZON-CSA;BEE PRODUCED GMBH;AT;;CLOSED;2022-02-01;2023-12-31;2022;253000,00;0,00
101056883;HORIZON;INCHILDHEALTH;IDENTIFYING DETERMINANTS FOR INDOOR AIR QUALITY AND THEIR HEALTH IMPACT IN ENVIRONMENTS FOR CHILDREN: MEASURES TO IMPROVE INDOOR AIR QUALITY AND REDUCE DISEASE BURDENS.;HORIZON.2.1;Health;Health;HORIZON-RIA;AALTO KORKEAKOULUSAATIO SR;FI;SENSING SOLUTIONS SL | FUNDACION PRIVADA INSTITUTO DE SALUD GLOBAL BARCELONA | AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS;SIGNED;2022-09-01;2026-08-31;2022;7368144,00;7382288,50
101061610;HORIZON;U-Night;U*Night - The UNITA Researchers' Night;HORIZON.1.2;Marie Skłodowska-Curie Actions (MSCA);Marie Skłodowska-Curie Actions;HORIZON-CSA;UNIVERSITA DEGLI STUDI DI TORINO;IT;UNIVERSIDAD DE ZARAGOZA;CLOSED;2022-03-01;2024-02-29;2022;395000,00;0,00
101070524;HORIZON;RECLAIM;AI-powered Robotic Material Recovery in a Box;HORIZON.2.4;Digital, Industry and Space;Digital, Industry and Space;HORIZON-IA;IDRYMA TECHNOLOGIAS KAI EREVNAS;EL;AIMPLAS - ASOCIACION DE INVESTIGACION DE MATERIALES PLASTICOS Y CONEXAS | IRIS TECHNOLOGY SOLUTIONS, SOCIEDAD LIMITADA;CLOSED;2022-09-01;2025-08-31;2022;2934800,00;3278725,00
