anio;ayudas;importe_concedido_eur;ayudas_AEI;ayudas_FECYT;ayudas_FB
2009;2;62920,00;2;0;0
2010;3;394440,00;3;0;0
2011;3;14140,00;3;0;0
2012;4;136692,80;3;0;1
2013;9;752080,00;9;0;0
2014;12;513540,00;11;0;1
2015;11;469578,00;10;0;1
2016;3;358886,00;3;0;0
2017;5;233493,00;3;0;2
2018;11;974534,00;9;0;2
2019;11;546822,40;9;0;2
2020;40;1223061,00;12;22;6
2021;49;4285490,00;24;20;5
2022;45;4628657,78;28;17;0
2023;56;5659518,25;39;15;2
2024;27;1448425,00;12;14;1
2025;27;2193568,51;8;18;1
2026;6;1275756,32;2;0;4
