anio;proyectos;proyectos_pais_foco;aportacion_ue_eur;proyectos_HORIZON;proyectos_H2020;proyectos_FP7;proyectos_FP6;proyectos_LIFE
2011;1;1;2499955,00;0;0;1;0;0
2012;2;1;4109999,00;0;0;2;0;0
2013;1;0;1096693,00;0;0;0;0;1
2014;3;0;1445449,60;0;1;1;0;1
2015;5;5;8651588,61;0;5;0;0;0
2016;11;6;23231276,42;0;9;0;0;2
2017;5;4;10619796,89;0;5;0;0;0
2018;19;7;26396919,58;0;18;0;0;1
2019;16;9;37344210,87;0;14;0;0;2
2020;23;11;64814933,91;0;21;0;0;2
2021;44;26;113546140,16;0;39;0;0;5
2022;33;16;136493650,98;27;3;0;0;3
2023;28;18;104092101,28;24;0;0;0;4
2024;41;19;148212418,73;41;0;0;0;0
2025;32;15;121526716,50;27;0;0;0;5
2026;49;26;195066378,62;38;0;0;0;11
2027;2;1;6378104,21;2;0;0;0;0
