codigo;nombre;proyectos;proyectos_pais_foco;pct_pais_foco;aportacion_ue_eur
HORIZON.1.2;Marie Skłodowska-Curie Actions (MSCA);41;11;26,8;28868207,30
H2020-EU.1.3.;EXCELLENT SCIENCE - Marie Skłodowska-Curie Actions;39;7;17,9;18965918,22
HORIZON.2.6;Food, Bioeconomy Natural Resources, Agriculture and Environment;37;25;67,6;220579583,74
HORIZON.2.2;Culture, creativity and inclusive society;37;24;64,9;190230206,33
LIFE-NATURE;Nature;21;8;38,1;79872801,00
H2020-EU.3.5.;SOCIETAL CHALLENGES - Climate action, Environment, Resource Efficiency and Raw Materials;15;10;66,7;77325861,41
H2020-EU.5.;SCIENCE WITH AND FOR SOCIETY;14;12;85,7;26934357,30
HORIZON.1.1;European Research Council (ERC);12;0;0,0;21800992,50
H2020-EU.5.c.;Integrate society in science and innovation issues, policies and activities in order to integrate citizens' interests and values and to increase the quality, relevance, social acceptability and sustainability of research and innovation outcomes in various fields of activity from social innovation to areas such as biotechnology and nanotechnology;12;9;75,0;24257310,50
LIFE-ENVIRONMENTAL-GOVERNANCE-AND-INFORMATION;Environmental Governance and Information;10;5;50,0;12414001,00
H2020-EU.1.1.;EXCELLENT SCIENCE - European Research Council (ERC);7;1;14,3;12400019,00
H2020-EU.3.2.;SOCIETAL CHALLENGES - Food security, sustainable agriculture and forestry, marine, maritime and inland water research, and the bioeconomy;7;6;85,7;58701340,64
HORIZON.2.1;Health;6;6;100,0;50213873,33
HORIZON.4.1;Widening participation and spreading excellence;6;1;16,7;10520515,76
HORIZON.4.2;Reforming and enhancing the European R&I System;6;6;100,0;19095412,50
HORIZON.1.3;Research infrastructures;5;4;80,0;38853977,53
H2020-EU.2.1.1.;INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT);5;4;80,0;6986825,25
HORIZON.2.4;Digital, Industry and Space;4;3;75,0;8380506,00
HORIZON.2.5;Climate, Energy and Mobility;4;2;50,0;25044149,74
H2020-EU.1.4.;EXCELLENT SCIENCE - Research Infrastructures;4;4;100,0;23982758,25
H2020-EU.5.f.;Develop the governance for the advancement of responsible research and innovation by all stakeholders, which is sensitive to society needs and demands and promote an ethics framework for research and innovation;3;3;100,0;8399101,25
H2020-EU.3.1.;SOCIETAL CHALLENGES - Health, demographic change and well-being;2;2;100,0;8003795,00
H2020-EU.5.h.;Improving knowledge on science communication in order to improve the quality and effectiveness of interactions between scientists, general media and the public;2;1;50,0;2679022,50
FP7-INFRASTRUCTURES;"Specific Programme ""Capacities"": Research infrastructures";2;2;100,0;3209954,00
LIFE-ENVIRONMENT;Environment;2;0;0,0;2198938,00
LIFE-PREPARATORY;Preparatory;2;2;100,0;4949569,00
HORIZON.3.1;The European Innovation Council (EIC);1;1;100,0;2998500,00
H2020-EU.5.a.;Make scientific and technological careers attractive to young students, and forster sustainable interaction between schools, research institutions, industry and civil society organisations;1;1;100,0;1766936,25
H2020-EU.5.d.;Encourage citizens to engage in science through formal and informal science education, and promote the diffusion of science-based activities, namely in science centres and through other appropriate channels;1;1;100,0;2973220,00
H2020-EU.3.4.;SOCIETAL CHALLENGES - Smart, Green And Integrated Transport;1;1;100,0;1997283,75
H2020-EU.3.6.;SOCIETAL CHALLENGES - Europe In A Changing World - Inclusive, Innovative And Reflective Societies;1;1;100,0;2723287,00
H2020-EU.1.2.;EXCELLENT SCIENCE - Future and Emerging Technologies (FET);1;1;100,0;3972313,71
FP7-PEOPLE;"Specific programme ""People"" implementing the Seventh Framework Programme of the European Community for research, technological development and demonstration activities (2007 to 2013)";1;0;0,0;221154,60
FP7-ICT;"Specific Programme ""Cooperation"": Information and communication technologies";1;0;0,0;3400000,00
LIFE-ENVIRONMENT-PREPARATORY-ACTION;Environment Preparatory Action;1;1;100,0;306344,00
LIFE-NGOS-ON-THE-EUROPEAN-GREEN-DEAL;NGOs on the European Green Deal;1;0;0,0;298297,00
